Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,6. Waste,6.A Solid Waste Disposal on Land,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,130.41,,,,,,,,,,
Afghanistan,6. Waste,6.A Solid Waste Disposal on Land,CH₄,Gg,,,,,,,,,,,,,,,,6.21,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,3776.15946,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,1. Energy,CH₄,Gg,,,,,,,,,,,,,,,,35.06076,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,1. Energy,N₂O,Gg,,,,,,,,,,,,,,,,0.41885,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,312.1554,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,15109.3,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,4. Agriculture,CH₄,Gg,,,,,,,,,,,,,,,,442.69,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,4. Agriculture,N₂O,Gg,,,,,,,,,,,,,,,,18.751,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,6. Waste,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,130.41,,,,,,,,,,
Afghanistan,Total GHG emissions excluding LULUCF/LUCF,6. Waste,CH₄,Gg,,,,,,,,,,,,,,,,6.21,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1. Energy,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,3776.15946,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1. Energy,CH₄,Gg,,,,,,,,,,,,,,,,35.06076,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1. Energy,CO₂,Gg,,,,,,,,,,,,,,,,2910.04,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1. Energy,N₂O,Gg,,,,,,,,,,,,,,,,0.41885,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,3733.22916,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,CH₄,Gg,,,,,,,,,,,,,,,,33.01646,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,CO₂,Gg,,,,,,,,,,,,,,,,2910.04,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1.A Fuel Combustion - Sectoral Approach,N₂O,Gg,,,,,,,,,,,,,,,,0.41885,,,,,,,,,,
